"(0,247955)"
"(1,282674)"
"(2,337600)"
"(3,389322)"
"(4,465451)"
"(5,542900)"
"(6,586621)"
"(7,604200)"
"(8,631503)"
"(9,610050)"
"(10,574590)"
"(11,532245)"
"(12,459459)"
"(13,354207)"
"(14,278760)"
"(15,213824)"
"(16,165676)"
"(17,130083)"
"(18,89784)"
"(19,57814)"
"(20,37149)"
"(21,23842)"
"(22,20140)"
"(23,21945)"
"(24,24408)"
"(25,27328)"
"(26,29232)"
"(27,33460)"
"(28,35035)"
"(29,40670)"
"(30,37008)"
"(31,42818)"
"(32,45216)"
"(33,49749)"
"(34,54940)"
"(35,64614)"
"(36,71982)"
"(37,83636)"
"(38,94385)"
"(39,108528)"
"(40,119085)"
"(41,130016)"
"(42,137186)"
"(43,146439)"
"(44,151368)"
"(45,154080)"
"(46,154379)"
"(47,154174)"
"(48,149408)"
"(49,141240)"
"(50,133650)"
"(51,120320)"
"(52,108120)"
"(53,95360)"
"(54,69720)"
"(55,59732)"
"(56,56430)"
"(57,53190)"
"(58,54672)"
"(59,49984)"
"(60,53214)"
"(61,58157)"
"(62,63936)"
"(63,69400)"
"(64,75180)"
"(65,81249)"
"(66,89411)"
"(67,94376)"
"(68,95500)"
"(69,98280)"
"(70,102029)"
"(71,104902)"
"(72,111249)"
"(73,113446)"
"(74,119167)"
"(75,123300)"
"(76,130950)"
"(77,127872)"
"(78,125568)"
"(79,130935)"
"(80,130593)"
"(81,125248)"
"(82,113760)"
"(83,107136)"
"(84,103494)"
"(85,100936)"
"(86,87980)"
"(87,77256)"
"(88,76360)"
"(89,73480)"
"(90,75032)"
"(91,73803)"
"(92,75702)"
"(93,77256)"
"(94,78402)"
"(95,82060)"
"(96,88773)"
"(97,95438)"
"(98,102655)"
"(99,108966)"
"(100,116070)"
"(101,121230)"
"(102,130385)"
"(103,134088)"
"(104,131720)"
"(105,129630)"
"(106,130950)"
"(107,131159)"
"(108,132940)"
"(109,131130)"
"(110,135090)"
"(111,140532)"
"(112,142107)"
"(113,135073)"
"(114,127872)"
"(115,125631)"
"(116,121656)"
"(117,117208)"
"(118,105183)"
"(119,95504)"
"(120,91500)"
"(121,90153)"
"(122,90774)"
"(123,88669)"
"(124,88572)"
"(125,87346)"
"(126,87120)"
"(127,86394)"
"(128,87952)"
"(129,89065)"
"(130,91096)"
"(131,92898)"
"(132,98490)"
"(133,103161)"
"(134,109720)"
"(135,112660)"
"(136,116424)"
"(137,120191)"
"(138,126960)"
"(139,132020)"
"(140,131955)"
"(141,134096)"
"(142,138402)"
"(143,141372)"
"(144,142590)"
"(145,140056)"
"(146,139854)"
"(147,134850)"
"(148,129352)"
"(149,122291)"
"(150,112420)"
"(151,107310)"
"(152,92131)"
"(153,88704)"
"(154,90792)"
"(155,93295)"
"(156,99448)"
"(157,104520)"
"(158,107200)"
"(159,104748)"
"(160,107567)"
"(161,105884)"
"(162,107976)"
"(163,108385)"
"(164,110970)"
"(165,112194)"
"(166,113208)"
"(167,113535)"
"(168,116509)"
"(169,122019)"
"(170,127440)"
"(171,135274)"
"(172,139876)"
"(173,143840)"
"(174,147588)"
"(175,153811)"
"(176,154066)"
"(177,155480)"
"(178,153510)"
"(179,148694)"
"(180,141804)"
"(181,131886)"
"(182,119382)"
"(183,105051)"
"(184,86450)"
"(185,78176)"
"(186,73840)"
